,year,quarter,count,company_code,pub_code
70,2012,3,0,moveit,sfwsj
71,2012,4,0,moveit,sfwsj
72,2013,1,0,moveit,sfwsj
73,2013,2,0,moveit,sfwsj
74,2013,3,0,moveit,sfwsj
75,2013,4,0,moveit,sfwsj
76,2014,1,0,moveit,sfwsj
77,2014,2,0,moveit,sfwsj
78,2014,3,0,moveit,sfwsj
79,2014,4,0,moveit,sfwsj
80,2015,1,0,moveit,sfwsj
81,2015,2,0,moveit,sfwsj
82,2015,3,0,moveit,sfwsj
83,2015,4,0,moveit,sfwsj
84,2016,1,0,moveit,sfwsj
85,2016,2,0,moveit,sfwsj
86,2016,3,0,moveit,sfwsj
87,2016,4,0,moveit,sfwsj
88,2017,1,0,moveit,sfwsj
89,2017,2,0,moveit,sfwsj
90,2017,3,0,moveit,sfwsj
91,2017,4,0,moveit,sfwsj
92,2018,1,0,moveit,sfwsj
93,2018,2,0,moveit,sfwsj
94,2018,3,0,moveit,sfwsj
95,2018,4,0,moveit,sfwsj
96,2019,1,0,moveit,sfwsj
97,2019,2,0,moveit,sfwsj
98,2019,3,0,moveit,sfwsj
99,2019,4,0,moveit,sfwsj
100,2020,1,0,moveit,sfwsj
101,2020,2,0,moveit,sfwsj
0,1995,1,0,moveit,sfnyt
1,1995,2,0,moveit,sfnyt
2,1995,3,0,moveit,sfnyt
3,1995,4,0,moveit,sfnyt
4,1996,1,0,moveit,sfnyt
5,1996,2,0,moveit,sfnyt
6,1996,3,0,moveit,sfnyt
7,1996,4,0,moveit,sfnyt
8,1997,1,0,moveit,sfnyt
9,1997,2,0,moveit,sfnyt
10,1997,3,0,moveit,sfnyt
11,1997,4,0,moveit,sfnyt
12,1998,1,0,moveit,sfnyt
13,1998,2,0,moveit,sfnyt
14,1998,3,0,moveit,sfnyt
15,1998,4,0,moveit,sfnyt
16,1999,1,0,moveit,sfnyt
17,1999,2,0,moveit,sfnyt
18,1999,3,0,moveit,sfnyt
19,1999,4,0,moveit,sfnyt
20,2000,1,0,moveit,sfnyt
21,2000,2,0,moveit,sfnyt
22,2000,3,0,moveit,sfnyt
23,2000,4,0,moveit,sfnyt
24,2001,1,0,moveit,sfnyt
25,2001,2,0,moveit,sfnyt
26,2001,3,0,moveit,sfnyt
27,2001,4,0,moveit,sfnyt
28,2002,1,0,moveit,sfnyt
29,2002,2,0,moveit,sfnyt
30,2002,3,0,moveit,sfnyt
31,2002,4,0,moveit,sfnyt
32,2003,1,0,moveit,sfnyt
33,2003,2,0,moveit,sfnyt
34,2003,3,0,moveit,sfnyt
35,2003,4,0,moveit,sfnyt
36,2004,1,0,moveit,sfnyt
37,2004,2,0,moveit,sfnyt
38,2004,3,0,moveit,sfnyt
39,2004,4,0,moveit,sfnyt
40,2005,1,0,moveit,sfnyt
41,2005,2,0,moveit,sfnyt
42,2005,3,0,moveit,sfnyt
43,2005,4,0,moveit,sfnyt
44,2006,1,0,moveit,sfnyt
45,2006,2,0,moveit,sfnyt
46,2006,3,0,moveit,sfnyt
47,2006,4,0,moveit,sfnyt
48,2007,1,0,moveit,sfnyt
49,2007,2,0,moveit,sfnyt
50,2007,3,0,moveit,sfnyt
51,2007,4,0,moveit,sfnyt
52,2008,1,0,moveit,sfnyt
53,2008,2,0,moveit,sfnyt
54,2008,3,0,moveit,sfnyt
55,2008,4,0,moveit,sfnyt
56,2009,1,0,moveit,sfnyt
57,2009,2,0,moveit,sfnyt
58,2009,3,0,moveit,sfnyt
59,2009,4,0,moveit,sfnyt
60,2010,1,0,moveit,sfnyt
61,2010,2,0,moveit,sfnyt
62,2010,3,0,moveit,sfnyt
63,2010,4,0,moveit,sfnyt
64,2011,1,0,moveit,sfnyt
65,2011,2,0,moveit,sfnyt
66,2011,3,0,moveit,sfnyt
67,2011,4,0,moveit,sfnyt
68,2012,1,0,moveit,sfnyt
69,2012,2,0,moveit,sfnyt
70,2012,3,0,moveit,sfnyt
71,2012,4,0,moveit,sfnyt
72,2013,1,0,moveit,sfnyt
73,2013,2,0,moveit,sfnyt
74,2013,3,0,moveit,sfnyt
75,2013,4,0,moveit,sfnyt
76,2014,1,0,moveit,sfnyt
77,2014,2,0,moveit,sfnyt
78,2014,3,0,moveit,sfnyt
79,2014,4,0,moveit,sfnyt
80,2015,1,0,moveit,sfnyt
81,2015,2,0,moveit,sfnyt
82,2015,3,0,moveit,sfnyt
83,2015,4,0,moveit,sfnyt
84,2016,1,0,moveit,sfnyt
85,2016,2,0,moveit,sfnyt
86,2016,3,0,moveit,sfnyt
87,2016,4,0,moveit,sfnyt
88,2017,1,0,moveit,sfnyt
89,2017,2,0,moveit,sfnyt
90,2017,3,0,moveit,sfnyt
91,2017,4,0,moveit,sfnyt
92,2018,1,0,moveit,sfnyt
93,2018,2,0,moveit,sfnyt
94,2018,3,0,moveit,sfnyt
95,2018,4,0,moveit,sfnyt
96,2019,1,0,moveit,sfnyt
97,2019,2,0,moveit,sfnyt
98,2019,3,0,moveit,sfnyt
99,2019,4,0,moveit,sfnyt
100,2020,1,0,moveit,sfnyt
101,2020,2,0,moveit,sfnyt
0,1995,1,0,moveit,sfglob
1,1995,2,0,moveit,sfglob
2,1995,3,0,moveit,sfglob
3,1995,4,0,moveit,sfglob
0,1996,1,0,moveit,sfglob
1,1996,2,0,moveit,sfglob
2,1996,3,0,moveit,sfglob
3,1996,4,0,moveit,sfglob
0,1997,1,0,moveit,sfglob
1,1997,2,0,moveit,sfglob
2,1997,3,0,moveit,sfglob
3,1997,4,0,moveit,sfglob
0,1998,1,0,moveit,sfglob
1,1998,2,0,moveit,sfglob
2,1998,3,0,moveit,sfglob
