,year,quarter,count,company_code,pub_code,,,,,,,,,
2,1997,3,0,natnnl,sfwsj,,,,,,,,,
3,1997,4,0,natnnl,sfwsj,,,,,,,,,
0,1998,1,0,natnnl,sfwsj,,,,,,,,,
1,1998,2,0,natnnl,sfwsj,,,,,,,,,
2,1998,3,0,natnnl,sfwsj,,,,,,,,,
3,1998,4,0,natnnl,sfwsj,,,,,,,,,
0,1999,1,0,natnnl,sfwsj,,,,,,,,,
1,1999,2,0,natnnl,sfwsj,,,,,,,,,
2,1999,3,0,natnnl,sfwsj,,,,,,,,,
3,1999,4,0,natnnl,sfwsj,,,,,,,,,
0,2000,1,0,natnnl,sfwsj,,,,,,,,,
1,2000,2,0,natnnl,sfwsj,,,,,,,,,
2,2000,3,0,natnnl,sfwsj,,,,,,,,,
3,2000,4,0,natnnl,sfwsj,,,,,,,,,
0,2001,1,0,natnnl,sfwsj,,,,,,,,,
1,2001,2,0,natnnl,sfwsj,,,,,,,,,
2,2001,3,0,natnnl,sfwsj,,,,,,,,,
3,2001,4,0,natnnl,sfwsj,,,,,,,,,
0,2002,1,0,natnnl,sfwsj,,,,,,,,,
1,2002,2,0,natnnl,sfwsj,,,,,,,,,
2,2002,3,0,natnnl,sfwsj,,,,,,,,,
3,2002,4,0,natnnl,sfwsj,,,,,,,,,
0,2003,1,0,natnnl,sfwsj,,,,,,,,,
1,2003,2,0,natnnl,sfwsj,,,,,,,,,
2,2003,3,0,natnnl,sfwsj,,,,,,,,,
3,2003,4,0,natnnl,sfwsj,,,,,,,,,
0,2004,1,0,natnnl,sfwsj,,,,,,,,,
1,2004,2,0,natnnl,sfwsj,,,,,,,,,
2,2004,3,0,natnnl,sfwsj,,,,,,,,,
3,2004,4,0,natnnl,sfwsj,,,,,,,,,
0,2005,1,0,natnnl,sfwsj,,,,,,,,,
1,2005,2,0,natnnl,sfwsj,,,,,,,,,
2,2005,3,0,natnnl,sfwsj,,,,,,,,,
3,2005,4,0,natnnl,sfwsj,,,,,,,,,
0,2006,1,0,natnnl,sfwsj,,,,,,,,,
1,2006,2,0,natnnl,sfwsj,,,,,,,,,
2,2006,3,0,natnnl,sfwsj,,,,,,,,,
3,2006,4,0,natnnl,sfwsj,,,,,,,,,
0,2007,1,0,natnnl,sfwsj,,,,,,,,,
1,2007,2,0,natnnl,sfwsj,,,,,,,,,
2,2007,3,0,natnnl,sfwsj,,,,,,,,,
3,2007,4,0,natnnl,sfwsj,,,,,,,,,
0,2008,1,0,natnnl,sfwsj,,,,,,,,,
1,2008,2,0,natnnl,sfwsj,,,,,,,,,
2,2008,3,0,natnnl,sfwsj,,,,,,,,,
3,2008,4,0,natnnl,sfwsj,,,,,,,,,
0,2009,1,0,natnnl,sfwsj,,,,,,,,,
1,2009,2,0,natnnl,sfwsj,,,,,,,,,
2,2009,3,0,natnnl,sfwsj,,,,,,,,,
3,2009,4,0,natnnl,sfwsj,,,,,,,,,
0,2010,1,0,natnnl,sfwsj,,,,,,,,,
1,2010,2,0,natnnl,sfwsj,,,,,,,,,
2,2010,3,0,natnnl,sfwsj,,,,,,,,,
3,2010,4,0,natnnl,sfwsj,,,,,,,,,
0,2011,1,0,natnnl,sfwsj,,,,,,,,,
1,2011,2,0,natnnl,sfwsj,,,,,,,,,
2,2011,3,0,natnnl,sfwsj,,,,,,,,,
3,2011,4,0,natnnl,sfwsj,,,,,,,,,
0,2012,1,0,natnnl,sfwsj,,,,,,,,,
1,2012,2,0,natnnl,sfwsj,,,,,,,,,
2,2012,3,0,natnnl,sfwsj,,,,,,,,,
3,2012,4,0,natnnl,sfwsj,,,,,,,,,
0,2013,1,0,natnnl,sfwsj,,,,,,,,,
1,2013,2,0,natnnl,sfwsj,,,,,,,,,
2,2013,3,0,natnnl,sfwsj,,,,,,,,,
3,2013,4,0,natnnl,sfwsj,,,,,,,,,
0,2014,1,0,natnnl,sfwsj,,,,,,,,,
1,2014,2,0,natnnl,sfwsj,,,,,,,,,
2,2014,3,0,natnnl,sfwsj,,,,,,,,,
3,2014,4,0,natnnl,sfwsj,,,,,,,,,
0,2015,1,0,natnnl,sfwsj,,,,,,,,,
1,2015,2,1,natnnl,sfwsj,,,,,,,,,
2,2015,3,0,natnnl,sfwsj,,,,,,,,,
3,2015,4,0,natnnl,sfwsj,,,,,,,,,
0,2016,1,0,natnnl,sfwsj,,,,,,,,,
1,2016,2,0,natnnl,sfwsj,,,,,,,,,
2,2016,3,3,natnnl,sfwsj,,,,,,,,,
3,2016,4,0,natnnl,sfwsj,,,,,,,,,
0,2017,1,0,natnnl,sfwsj,,,,,,,,,
1,2017,2,2,natnnl,sfwsj,,,,,,,,,
2,2017,3,0,natnnl,sfwsj,,,,,,,,,
3,2017,4,0,natnnl,sfwsj,,,,,,,,,
0,2018,1,0,natnnl,sfwsj,,,,,,,,,
1,2018,2,0,natnnl,sfwsj,,,,,,,,,
2,2018,3,0,natnnl,sfwsj,,,,,,,,,
3,2018,4,0,natnnl,sfwsj,,,,,,,,,
