,year,quarter,count,company_code,pub_code
0,1995,1,0,rbfs,sfusat
1,1995,2,0,rbfs,sfusat
2,1995,3,0,rbfs,sfusat
3,1995,4,0,rbfs,sfusat
4,1996,1,0,rbfs,sfusat
5,1996,2,0,rbfs,sfusat
6,1996,3,0,rbfs,sfusat
7,1996,4,0,rbfs,sfusat
8,1997,1,0,rbfs,sfusat
9,1997,2,0,rbfs,sfusat
10,1997,3,0,rbfs,sfusat
11,1997,4,0,rbfs,sfusat
12,1998,1,0,rbfs,sfusat
13,1998,2,0,rbfs,sfusat
14,1998,3,0,rbfs,sfusat
15,1998,4,0,rbfs,sfusat
16,1999,1,0,rbfs,sfusat
17,1999,2,0,rbfs,sfusat
18,1999,3,0,rbfs,sfusat
19,1999,4,0,rbfs,sfusat
20,2000,1,0,rbfs,sfusat
21,2000,2,0,rbfs,sfusat
22,2000,3,0,rbfs,sfusat
23,2000,4,0,rbfs,sfusat
24,2001,1,0,rbfs,sfusat
25,2001,2,0,rbfs,sfusat
26,2001,3,0,rbfs,sfusat
27,2001,4,0,rbfs,sfusat
28,2002,1,0,rbfs,sfusat
29,2002,2,0,rbfs,sfusat
30,2002,3,0,rbfs,sfusat
31,2002,4,0,rbfs,sfusat
32,2003,1,0,rbfs,sfusat
33,2003,2,0,rbfs,sfusat
34,2003,3,0,rbfs,sfusat
35,2003,4,0,rbfs,sfusat
36,2004,1,0,rbfs,sfusat
37,2004,2,0,rbfs,sfusat
38,2004,3,0,rbfs,sfusat
39,2004,4,0,rbfs,sfusat
40,2005,1,0,rbfs,sfusat
41,2005,2,0,rbfs,sfusat
42,2005,3,0,rbfs,sfusat
43,2005,4,0,rbfs,sfusat
44,2006,1,0,rbfs,sfusat
45,2006,2,0,rbfs,sfusat
46,2006,3,0,rbfs,sfusat
47,2006,4,0,rbfs,sfusat
48,2007,1,0,rbfs,sfusat
49,2007,2,0,rbfs,sfusat
50,2007,3,0,rbfs,sfusat
51,2007,4,0,rbfs,sfusat
52,2008,1,0,rbfs,sfusat
53,2008,2,0,rbfs,sfusat
54,2008,3,0,rbfs,sfusat
55,2008,4,0,rbfs,sfusat
56,2009,1,0,rbfs,sfusat
57,2009,2,0,rbfs,sfusat
58,2009,3,0,rbfs,sfusat
59,2009,4,0,rbfs,sfusat
60,2010,1,0,rbfs,sfusat
61,2010,2,0,rbfs,sfusat
62,2010,3,0,rbfs,sfusat
63,2010,4,0,rbfs,sfusat
64,2011,1,0,rbfs,sfusat
65,2011,2,0,rbfs,sfusat
66,2011,3,0,rbfs,sfusat
67,2011,4,0,rbfs,sfusat
68,2012,1,0,rbfs,sfusat
69,2012,2,0,rbfs,sfusat
70,2012,3,0,rbfs,sfusat
71,2012,4,0,rbfs,sfusat
72,2013,1,0,rbfs,sfusat
73,2013,2,0,rbfs,sfusat
74,2013,3,0,rbfs,sfusat
75,2013,4,0,rbfs,sfusat
76,2014,1,0,rbfs,sfusat
77,2014,2,0,rbfs,sfusat
78,2014,3,0,rbfs,sfusat
79,2014,4,0,rbfs,sfusat
80,2015,1,0,rbfs,sfusat
81,2015,2,0,rbfs,sfusat
82,2015,3,0,rbfs,sfusat
83,2015,4,0,rbfs,sfusat
84,2016,1,0,rbfs,sfusat
85,2016,2,0,rbfs,sfusat
86,2016,3,0,rbfs,sfusat
87,2016,4,0,rbfs,sfusat
88,2017,1,0,rbfs,sfusat
89,2017,2,0,rbfs,sfusat
90,2017,3,0,rbfs,sfusat
91,2017,4,0,rbfs,sfusat
92,2018,1,0,rbfs,sfusat
93,2018,2,0,rbfs,sfusat
94,2018,3,0,rbfs,sfusat
95,2018,4,0,rbfs,sfusat
96,2019,1,0,rbfs,sfusat
97,2019,2,0,rbfs,sfusat
98,2019,3,0,rbfs,sfusat
99,2019,4,0,rbfs,sfusat
100,2020,1,0,rbfs,sfusat
101,2020,2,0,rbfs,sfusat
0,1995,1,0,rbfs,sfwsj
1,1995,2,0,rbfs,sfwsj
2,1995,3,0,rbfs,sfwsj
3,1995,4,0,rbfs,sfwsj
0,1996,1,0,rbfs,sfwsj
1,1996,2,0,rbfs,sfwsj
2,1996,3,0,rbfs,sfwsj
3,1996,4,0,rbfs,sfwsj
