,year,quarter,count,company_code,pub_code
2,2008,3,1,fcaacq,sfwsj
3,2008,4,6,fcaacq,sfwsj
0,2009,1,0,fcaacq,sfwsj
1,2009,2,0,fcaacq,sfwsj
2,2009,3,0,fcaacq,sfwsj
3,2009,4,0,fcaacq,sfwsj
0,2010,1,0,fcaacq,sfwsj
1,2010,2,0,fcaacq,sfwsj
2,2010,3,0,fcaacq,sfwsj
3,2010,4,0,fcaacq,sfwsj
0,2011,1,0,fcaacq,sfwsj
1,2011,2,0,fcaacq,sfwsj
2,2011,3,1,fcaacq,sfwsj
3,2011,4,0,fcaacq,sfwsj
0,2012,1,0,fcaacq,sfwsj
1,2012,2,0,fcaacq,sfwsj
2,2012,3,0,fcaacq,sfwsj
3,2012,4,0,fcaacq,sfwsj
0,2013,1,0,fcaacq,sfwsj
1,2013,2,1,fcaacq,sfwsj
2,2013,3,0,fcaacq,sfwsj
3,2013,4,0,fcaacq,sfwsj
0,2014,1,0,fcaacq,sfwsj
1,2014,2,0,fcaacq,sfwsj
2,2014,3,0,fcaacq,sfwsj
3,2014,4,0,fcaacq,sfwsj
0,2015,1,0,fcaacq,sfwsj
1,2015,2,0,fcaacq,sfwsj
2,2015,3,0,fcaacq,sfwsj
3,2015,4,0,fcaacq,sfwsj
0,2016,1,1,fcaacq,sfwsj
1,2016,2,0,fcaacq,sfwsj
2,2016,3,0,fcaacq,sfwsj
3,2016,4,0,fcaacq,sfwsj
0,2017,1,0,fcaacq,sfwsj
1,2017,2,0,fcaacq,sfwsj
2,2017,3,0,fcaacq,sfwsj
3,2017,4,0,fcaacq,sfwsj
0,2018,1,0,fcaacq,sfwsj
1,2018,2,0,fcaacq,sfwsj
2,2018,3,0,fcaacq,sfwsj
3,2018,4,0,fcaacq,sfwsj
0,2019,1,0,fcaacq,sfwsj
1,2019,2,0,fcaacq,sfwsj
2,2019,3,0,fcaacq,sfwsj
3,2019,4,0,fcaacq,sfwsj
0,2020,1,0,fcaacq,sfwsj
1,2020,2,0,fcaacq,sfwsj
0,1995,1,0,fcaacq,sfnyt
1,1995,2,0,fcaacq,sfnyt
2,1995,3,0,fcaacq,sfnyt
3,1995,4,0,fcaacq,sfnyt
4,1996,1,0,fcaacq,sfnyt
5,1996,2,0,fcaacq,sfnyt
6,1996,3,0,fcaacq,sfnyt
7,1996,4,0,fcaacq,sfnyt
8,1997,1,0,fcaacq,sfnyt
9,1997,2,0,fcaacq,sfnyt
10,1997,3,0,fcaacq,sfnyt
11,1997,4,0,fcaacq,sfnyt
12,1998,1,0,fcaacq,sfnyt
13,1998,2,0,fcaacq,sfnyt
14,1998,3,0,fcaacq,sfnyt
15,1998,4,0,fcaacq,sfnyt
16,1999,1,0,fcaacq,sfnyt
17,1999,2,0,fcaacq,sfnyt
18,1999,3,0,fcaacq,sfnyt
19,1999,4,0,fcaacq,sfnyt
20,2000,1,0,fcaacq,sfnyt
21,2000,2,0,fcaacq,sfnyt
22,2000,3,0,fcaacq,sfnyt
23,2000,4,0,fcaacq,sfnyt
24,2001,1,0,fcaacq,sfnyt
25,2001,2,0,fcaacq,sfnyt
26,2001,3,0,fcaacq,sfnyt
27,2001,4,0,fcaacq,sfnyt
28,2002,1,0,fcaacq,sfnyt
29,2002,2,0,fcaacq,sfnyt
30,2002,3,0,fcaacq,sfnyt
31,2002,4,0,fcaacq,sfnyt
32,2003,1,0,fcaacq,sfnyt
33,2003,2,0,fcaacq,sfnyt
34,2003,3,0,fcaacq,sfnyt
35,2003,4,0,fcaacq,sfnyt
36,2004,1,0,fcaacq,sfnyt
37,2004,2,0,fcaacq,sfnyt
38,2004,3,0,fcaacq,sfnyt
39,2004,4,0,fcaacq,sfnyt
40,2005,1,0,fcaacq,sfnyt
41,2005,2,0,fcaacq,sfnyt
42,2005,3,0,fcaacq,sfnyt
43,2005,4,0,fcaacq,sfnyt
44,2006,1,0,fcaacq,sfnyt
45,2006,2,0,fcaacq,sfnyt
46,2006,3,0,fcaacq,sfnyt
47,2006,4,0,fcaacq,sfnyt
48,2007,1,0,fcaacq,sfnyt
49,2007,2,0,fcaacq,sfnyt
50,2007,3,0,fcaacq,sfnyt
51,2007,4,0,fcaacq,sfnyt
52,2008,1,0,fcaacq,sfnyt
53,2008,2,0,fcaacq,sfnyt
54,2008,3,0,fcaacq,sfnyt
55,2008,4,0,fcaacq,sfnyt
56,2009,1,0,fcaacq,sfnyt
57,2009,2,0,fcaacq,sfnyt
58,2009,3,0,fcaacq,sfnyt
59,2009,4,0,fcaacq,sfnyt
60,2010,1,0,fcaacq,sfnyt
61,2010,2,0,fcaacq,sfnyt
62,2010,3,0,fcaacq,sfnyt
63,2010,4,0,fcaacq,sfnyt
64,2011,1,0,fcaacq,sfnyt
65,2011,2,0,fcaacq,sfnyt
66,2011,3,0,fcaacq,sfnyt
67,2011,4,0,fcaacq,sfnyt
68,2012,1,0,fcaacq,sfnyt
69,2012,2,0,fcaacq,sfnyt
70,2012,3,0,fcaacq,sfnyt
71,2012,4,0,fcaacq,sfnyt
72,2013,1,0,fcaacq,sfnyt
73,2013,2,0,fcaacq,sfnyt
74,2013,3,0,fcaacq,sfnyt
75,2013,4,0,fcaacq,sfnyt
76,2014,1,0,fcaacq,sfnyt
77,2014,2,0,fcaacq,sfnyt
78,2014,3,0,fcaacq,sfnyt
79,2014,4,0,fcaacq,sfnyt
80,2015,1,0,fcaacq,sfnyt
81,2015,2,0,fcaacq,sfnyt
82,2015,3,0,fcaacq,sfnyt
83,2015,4,0,fcaacq,sfnyt
84,2016,1,0,fcaacq,sfnyt
85,2016,2,0,fcaacq,sfnyt
86,2016,3,0,fcaacq,sfnyt
87,2016,4,0,fcaacq,sfnyt
88,2017,1,0,fcaacq,sfnyt
89,2017,2,0,fcaacq,sfnyt
90,2017,3,0,fcaacq,sfnyt
91,2017,4,0,fcaacq,sfnyt
92,2018,1,0,fcaacq,sfnyt
93,2018,2,0,fcaacq,sfnyt
94,2018,3,0,fcaacq,sfnyt
95,2018,4,0,fcaacq,sfnyt
96,2019,1,0,fcaacq,sfnyt
97,2019,2,0,fcaacq,sfnyt
98,2019,3,0,fcaacq,sfnyt
99,2019,4,0,fcaacq,sfnyt
100,2020,1,0,fcaacq,sfnyt
101,2020,2,0,fcaacq,sfnyt
0,1995,1,0,fcaacq,sfglob
1,1995,2,0,fcaacq,sfglob
2,1995,3,0,fcaacq,sfglob
3,1995,4,0,fcaacq,sfglob
4,1996,1,0,fcaacq,sfglob
5,1996,2,0,fcaacq,sfglob
6,1996,3,0,fcaacq,sfglob
7,1996,4,0,fcaacq,sfglob
8,1997,1,0,fcaacq,sfglob
9,1997,2,0,fcaacq,sfglob
10,1997,3,0,fcaacq,sfglob
11,1997,4,0,fcaacq,sfglob
12,1998,1,0,fcaacq,sfglob
13,1998,2,0,fcaacq,sfglob
14,1998,3,0,fcaacq,sfglob
15,1998,4,0,fcaacq,sfglob
16,1999,1,0,fcaacq,sfglob
17,1999,2,0,fcaacq,sfglob
18,1999,3,0,fcaacq,sfglob
19,1999,4,0,fcaacq,sfglob
20,2000,1,0,fcaacq,sfglob
21,2000,2,0,fcaacq,sfglob
22,2000,3,0,fcaacq,sfglob
23,2000,4,0,fcaacq,sfglob
24,2001,1,0,fcaacq,sfglob
25,2001,2,0,fcaacq,sfglob
26,2001,3,0,fcaacq,sfglob
27,2001,4,0,fcaacq,sfglob
28,2002,1,0,fcaacq,sfglob
29,2002,2,0,fcaacq,sfglob
30,2002,3,0,fcaacq,sfglob
31,2002,4,0,fcaacq,sfglob
32,2003,1,0,fcaacq,sfglob
33,2003,2,0,fcaacq,sfglob
34,2003,3,0,fcaacq,sfglob
35,2003,4,0,fcaacq,sfglob
36,2004,1,0,fcaacq,sfglob
37,2004,2,0,fcaacq,sfglob
38,2004,3,0,fcaacq,sfglob
39,2004,4,0,fcaacq,sfglob
40,2005,1,0,fcaacq,sfglob
41,2005,2,0,fcaacq,sfglob
42,2005,3,0,fcaacq,sfglob
43,2005,4,0,fcaacq,sfglob
44,2006,1,0,fcaacq,sfglob
45,2006,2,0,fcaacq,sfglob
46,2006,3,0,fcaacq,sfglob
47,2006,4,0,fcaacq,sfglob
48,2007,1,0,fcaacq,sfglob
49,2007,2,0,fcaacq,sfglob
50,2007,3,0,fcaacq,sfglob
51,2007,4,0,fcaacq,sfglob
52,2008,1,0,fcaacq,sfglob
53,2008,2,0,fcaacq,sfglob
54,2008,3,0,fcaacq,sfglob
55,2008,4,0,fcaacq,sfglob
56,2009,1,0,fcaacq,sfglob
57,2009,2,0,fcaacq,sfglob
58,2009,3,0,fcaacq,sfglob
59,2009,4,0,fcaacq,sfglob
60,2010,1,0,fcaacq,sfglob
61,2010,2,0,fcaacq,sfglob
62,2010,3,0,fcaacq,sfglob
63,2010,4,0,fcaacq,sfglob
64,2011,1,0,fcaacq,sfglob
65,2011,2,0,fcaacq,sfglob
66,2011,3,0,fcaacq,sfglob
